code,operator_region
31,Закарпатская область
32,Львовская область
33,Волынская область
34,Ивано-Франковская область
35,Тернопольская область
36,Ровненская область
37,Черновицкая область
38,Хмельницкая область
41,Житомирская область
43,Винницкая область
44,Киев
45,Киевская область
46,Черниговская область
47,Черкасская область
48,Одесская область
50,Vodafone
51,Николаевская область
52,Кировоградская область
53,Полтавская область
54,Сумская область
55,Херсонская область
56,Днепропетровская область
57,Харьковская область
61,Запорожская область
62,Донецкая область
63,lifecell
64,Луганская область
65,Автономная республика Крым[crimea2015 3]
66,Vodafone
67,Киевстар
68,Киевстар
69,Севастополь
70,Укртелеком
73,lifecell
80,Бесплатные горячие линии[9][10]
90,Укртелеком
91,ТриМоб
92,PEOPLEnet
93,lifecell
94,Интертелеком
95,Vodafone
96,Киевстар
97,Киевстар
98,Киевстар
99,Vodafone
